product_id,product_name,category,list_price,cost_price,active_yn,updated_at
P0001,무선 키보드,DIGITAL,69000,44600,Y,2026-09-16T08:00:00
P0002,버티컬 마우스,DIGITAL,54000,27600,Y,2026-09-13T18:00:00
P0003,USB-C 허브,DIGITAL,89000,43800,Y,2026-09-05T08:00:00
P0004,27인치 모니터,DIGITAL,329000,233200,Y,2026-09-05T11:00:00
P0005,노트북 스탠드,OFFICE,45000,31900,Y,2026-09-07T18:00:00
P0006,메모리폼 방석,OFFICE,38000,20600,Y,2026-09-14T09:00:00
P0007,데스크 매트,OFFICE,29000,19700,Y,2026-09-17T11:00:00
P0008,스테인리스 텀블러,LIVING,32000,21500,Y,2026-09-11T13:00:00
P0009,휴대용 선풍기,LIVING,27000,16300,N,2026-09-15T12:00:00
P0010,공기청정기 필터,LIVING,48000,26400,Y,2026-09-09T11:00:00
P0011,드립백 커피 20입,FOOD,24000,12600,Y,2026-09-07T13:00:00
P0012,견과 선물세트,FOOD,39000,23300,Y,2026-09-11T14:00:00
P0013,프로틴 바 12입,FOOD,28000,15100,Y,2026-09-17T16:00:00
P0014,저당 그래놀라,FOOD,16000,7900,Y,2026-09-13T09:00:00
P0015,러닝 벨트,SPORTS,22000,12500,Y,2026-09-06T12:00:00
P0016,요가 매트,SPORTS,42000,22600,Y,2026-09-15T16:00:00
P0017,폼롤러,SPORTS,25000,13600,N,2026-09-08T08:00:00
P0018,보조배터리,DIGITAL,59000,38700,Y,2026-09-14T10:00:00
P0019,웹캠,DIGITAL,79000,48900,Y,2026-09-01T15:00:00
P0020,블루투스 스피커,DIGITAL,99000,56100,Y,2026-09-04T15:00:00
P0021,LED 스탠드,OFFICE,49000,30000,Y,2026-09-11T14:00:00
P0022,수납 트레이,OFFICE,18000,10300,Y,2026-09-12T12:00:00
P0023,핸드워시 세트,LIVING,21000,9700,Y,2026-09-04T11:00:00
P0024,멀티비타민,HEALTH,36000,23500,Y,2026-09-15T13:00:00
P0025,마사지볼,SPORTS,15000,7200,Y,2026-09-16T10:00:00
